dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2016011820.0,202429.0,11021.0,107999.0,9940.0,3.0,4.0,1.0
2016011821.0,188511.0,27706.0,1407.0,141224.0,3.0,1.0,2.0
2016011822.0,84778.0,5946.0,9998.0,14182.0,1.0,1.0,2.0
2016011823.0,126308.0,66433.0,0.0,1333.0,1.0,0.0,3.0
2016011824.0,51196.0,28125.0,0.0,0.0,4.0,0.0,0.0
2016011901.0,127156.0,7409.0,0.0,109542.0,1.0,0.0,5.0
2016011902.0,19572.0,841.0,0.0,549.0,2.0,0.0,1.0
2016011903.0,393779.0,207227.0,101.0,103491.0,3.0,1.0,4.0
2016011904.0,117433.0,29687.0,0.0,1163.0,3.0,0.0,2.0
2016011905.0,1261.0,549.0,0.0,0.0,1.0,0.0,0.0
2016011906.0,60882.0,8616.0,149.0,0.0,1.0,1.0,0.0
2016011907.0,12990.0,11290.0,0.0,0.0,1.0,0.0,0.0
2016011908.0,161092.0,35420.0,420.0,1014.0,4.0,1.0,1.0
2016011909.0,110746.0,27668.0,1890.0,8616.0,6.0,1.0,1.0
2016011910.0,252896.96000000002,17033.0,801.0,97037.0,3.0,1.0,3.0
2016011911.0,54400.0,9929.0,164.0,26908.0,2.0,1.0,3.0
2016011912.0,90745.0,586.0,18060.0,19961.0,2.0,2.0,1.0
2016011913.0,120155.0,10012.0,9599.0,913.0,3.0,3.0,2.0
2016011914.0,423664.0,1775.0,25535.0,16472.0,3.0,1.0,1.0
2016011915.0,132947.0,164.0,164.0,18679.0,2.0,1.0,4.0
2016011916.0,39111.0,9940.0,0.0,0.0,1.0,0.0,0.0
2016011917.0,132156.0,33590.0,4109.0,6951.0,4.0,1.0,2.0
2016011918.0,73691.0,27065.0,18782.0,0.0,4.0,3.0,0.0
2016011919.0,156488.0,19961.0,80121.0,45064.0,1.0,3.0,2.0
2016011920.0,136568.0,113595.0,0.0,830.0,3.0,0.0,3.0
2016011921.0,34796.0,0.0,0.0,0.0,0.0,0.0,0.0
2016011922.0,113013.0,22242.0,0.0,16472.0,2.0,0.0,1.0
2016011923.0,173021.0,60652.0,0.0,36477.0,4.0,0.0,3.0
2016011924.0,38325.0,21747.0,0.0,0.0,2.0,0.0,0.0
2016012001.0,81474.0,16472.0,0.0,64502.0,1.0,0.0,1.0
2016012002.0,197949.0,3100.0,0.0,0.0,1.0,0.0,0.0
2016012003.0,199167.0,18095.0,0.0,170794.0,2.0,0.0,1.0
2016012004.0,145611.0,1623.0,0.0,109481.0,1.0,0.0,2.0
2016012005.0,76843.0,0.0,0.0,229.0,0.0,0.0,2.0
2016012006.0,376541.0,187266.0,0.0,187.0,2.0,0.0,1.0
2016012007.0,223607.0,0.0,1598.0,1752.0,0.0,1.0,2.0
2016012008.0,555372.0,179200.0,9966.0,111356.0,6.0,1.0,4.0
2016012009.0,284530.51,63058.0,12414.0,218.0,8.0,5.0,3.0
2016012010.0,322992.0,25948.0,1986.0,7170.0,2.0,3.0,1.0
2016012011.0,210171.0,37726.0,2147.0,27202.0,5.0,2.0,3.0
2016012012.0,348183.0,171166.0,26834.0,49603.0,3.0,5.0,4.0
2016012013.0,576366.0,66522.0,668.0,60399.0,7.0,1.0,4.0
2016012014.0,328301.0,34161.0,2069.0,0.0,5.0,3.0,0.0
